sample,datetime,id,branch,SUBWS,ec,ph,turb,tn,nh4n,no3n,tp,po4,doc,don,time_round,date_group,ec_ravg,ph_ravg,turb_ravg,tn_ravg,nh4n_ravg,no3n_ravg,tp_ravg,po4_ravg,doc_ravg,don_ravg,firstq,lastq,volume_cf,rain_mm,mean_Q_cfs,sd_Q_cfs,min_Q_cfs,max_Q_cfs,volume_liters,rain_ft,runoff_ft,runoff_ratio,vol_shift,rain_liters,ec_grams,ph_grams,turb_grams,tn_grams,nh4n_grams,no3n_grams,tp_grams,po4_grams,doc_grams,don_grams,ec_kg,ph_kg,turb_kg,tn_kg,nh4n_kg,no3n_kg,tp_kg,po4_kg,doc_kg,don_kg,ec_ha,ph_ha,turb_ha,tn_ha,nh4n_ha,no3n_ha,tp_ha,po4_ha,doc_ha,don_ha,ec_ravg_grams,ph_ravg_grams,turb_ravg_grams,tn_ravg_grams,nh4n_ravg_grams,no3n_ravg_grams,tp_ravg_grams,po4_ravg_grams,doc_ravg_grams,don_ravg_grams,ec_ravg_kg,ph_ravg_kg,turb_ravg_kg,tn_ravg_kg,nh4n_ravg_kg,no3n_ravg_kg,tp_ravg_kg,po4_ravg_kg,doc_ravg_kg,don_ravg_kg,ec_ravg_ha,ph_ravg_ha,turb_ravg_ha,tn_ravg_ha,nh4n_ravg_ha,no3n_ravg_ha,tp_ravg_ha,po4_ravg_ha,doc_ravg_ha,don_ravg_ha
678,2018-03-16T20:40:00Z,NA,NA,SFC,116,7.14,32.2,0.25,0.02,0.175,0.048,0.047,3.34,0.055,2018-03-16T20:40:00Z,30,63.5,6.205,16.740000000000002,0.125,0.02,0.0875,0.024,0.0375,2.085,0.0275,15.5,2.31,2432808,9.398,7.002901554404145,3.988775931902966,2.31,15.5,68889451.916376,0.03083333432,0.053305537184302455,0.5784264815378294,25378974.123749997,39847520,2943960.9983549993,181205.87524357496,817202.96678475,6344.7435309375,507.57948247499996,4441.320471656249,1218.19075794,1192.8117838162498,84765.77357332499,1395.8435768062498,2943.9609983549994,181.20587524357498,817.20296678475,6.3447435309374995,0.507579482475,4.441320471656249,1.21819075794,1.1928117838162497,84.76577357332499,1.3958435768062498,6.9433042414033,0.4273723472725825,1.927365487699882,0.014964017761645045,0.0011971214209316036,0.010474812433151532,0.002873091410235849,0.002813235339189268,0.19991927729557782,0.00329208390756191,1611564.8568581247,157476.53443786874,424844.02683157503,3172.37176546875,507.57948247499996,2220.6602358281243,609.09537897,951.7115296406249,52915.161048018745,697.9217884031249,1611.5648568581248,157.47653443786874,424.84402683157504,3.1723717654687498,0.507579482475,2.2206602358281247,0.60909537897,0.9517115296406249,52.915161048018746,0.6979217884031249,3.8008605114578415,0.37140692084403004,1.0019906293197525,0.007482008880822523,0.0011971214209316036,0.005237406216575766,0.0014365457051179246,0.0022446026642467566,0.12479990813211968,0.001646041953780955
668,2018-03-20T21:05:00Z,NA,NA,SFC,145,7.05,9.01,0.05,0.03,0,0.01,0.033,2.09,0.02,2018-03-20T21:10:00Z,31,130.5,7.095,20.605,0.15,0.025,0.0875,0.029,0.04,2.715,0.0375,2.34,2.32,2796,0.254,2.33,0.014142135623730963,2.32,2.34,79173.904212,8.333333600000001e-4,6.126347906094918e-5,13.602449171568301,68889451.916376,1076960,9988970.52787452,485670.6360104507,620693.9617665476,3444.4725958188,2066.6835574912798,0,688.89451916376,2273.351913240408,143978.95450522582,1377.78903832752,9988.970527874519,485.6706360104507,620.6939617665477,3.4444725958188,2.0666835574912796,0,0.68889451916376,2.273351913240408,143.9789545052258,1.37778903832752,23.558892754421034,1.1454496132321952,1.4639008532229898,0.008123756122214151,0.00487425367332849,0,0.0016247512244428302,0.00536167904066134,0.33957300590855144,0.0032495024488856604,8990073.475087067,488770.6613466877,1419467.1567369276,10333.4177874564,1722.2362979094,6027.827042682899,1997.794105574904,2755.57807665504,187034.8619529608,2583.3544468641,8990.073475087067,488.7706613466877,1419.4671567369276,10.3334177874564,1.7222362979094,6.027827042682899,1.997794105574904,2.75557807665504,187.03486195296082,2.5833544468641,21.203003478978932,1.1527609937421879,3.347799897964452,0.02437126836664245,0.004061878061107076,0.014216573213874763,0.004711778550884208,0.006499004897771321,0.44111995743622834,0.006092817091660613
670,2018-03-20T21:30:00Z,NA,NA,SFC,18,5.37,0.74,0,0.03,0,0.001,0.019,0.45,0,2018-03-20T21:30:00Z,32,81.5,6.21,4.875,0.025,0.03,0,0.0055,0.026000000000000002,1.27,0.01,2.33,2.71,4035918,53.848,5.854247171453438,4.310259444098276,2.2,17.2,114284472.510546,0.17666667232,0.0884314656240014,1.9977806663429363,79173.904212,228315520,1425.1302758159998,425.16386561843996,58.58868911687999,0,2.37521712636,0,0.07917390421199999,1.5043041800279997,35.6282568954,0,1.4251302758159998,0.42516386561844,0.05858868911687999,0,0.00237521712636,0,7.9173904212e-5,0.0015043041800279998,0.0356282568954,0,0.003361156310886792,0.0010027449660812264,1.3818087055867922e-4,0,5.60192718481132e-6,0,1.8673090616037736e-7,3.547887217047169e-6,8.402890777216981e-5,0,6452.673193277999,491.66994515651993,385.9727830335,1.9793476052999999,2.37521712636,0,0.43545647316599995,2.0585215095120004,100.55085834923999,0.7917390421199999,6.452673193278,0.49166994515651996,0.38597278303349997,0.0019793476053,0.00237521712636,0,4.3545647316599995e-4,0.002058521509512,0.10055085834923999,7.917390421199999e-4,0.015218568852070754,0.0011595989272559432,9.103131675318396e-4,4.668272654009434e-6,5.60192718481132e-6,0,1.0270199838820754e-6,4.855003560169812e-6,2.3714825082367922e-4,1.8673090616037734e-6
686,2018-03-28T21:01:00Z,NA,NA,SFC,133,7.03,5.92,0.05,0.01,0.005,0.007,0.028,2.17,0.035,2018-03-28T21:00:00Z,33,75.5,6.2,3.33,0.025,0.02,0.0025,0.004,0.0235,1.31,0.0175,2.7,2.69,3234,0,2.6950000000000003,0.007071067811865638,2.69,2.7,91576.683198,0,7.086054766920947e-5,0,114284472.510546,0,15199834.843902618,803419.8417491383,676564.0772624323,5714.2236255273,1142.84472510546,571.42236255273,799.9913075738219,3199.9652302952877,247997.3053478848,3999.9565378691104,15199.834843902618,803.4198417491383,676.5640772624323,5.7142236255273,1.14284472510546,0.57142236255273,0.799991307573822,3.199965230295288,247.9973053478848,3.99995653786911,35.84866708467599,1.8948581173328733,1.5956699935434724,0.013476942513036085,0.002695388502607217,0.0013476942513036085,0.001886771951825052,0.007547087807300208,0.584899305065766,0.00943385975912526,8628477.674546223,708563.7295653853,380567.2934601182,2857.11181276365,2285.68945021092,285.711181276365,457.137890042184,2685.685103997831,149712.65898881527,1999.9782689345552,8628.477674546222,708.5637295653852,380.56729346011815,2.85711181276365,2.28568945021092,0.285711181276365,0.45713789004218397,2.6856851039978307,149.71265898881526,1.999978268934555,20.350183194684487,1.6711408716164744,0.8975643713682032,0.006738471256518042,0.005390777005214434,6.738471256518043e-4,0.0010781554010428867,0.006334162981126959,0.35309589384154544,0.00471692987956263
684,2018-03-28T21:15:00Z,NA,NA,SFC,18,5.61,0.66,0.05,0.03,0.021,0,0.042,0.34,0,2018-03-28T21:20:00Z,34,75.5,6.32,3.29,0.05,0.02,0.013000000000000001,0.0035,0.035,1.255,0.0175,2.69,0.673,888988.2,5.334,1.3252656529516995,0.649966585533993,0.673,3.61,25173342.844205398,0.01750000056,0.019478723167428793,0.8984162057019477,91576.683198,22616160,1648.3802975639999,513.74519274078,60.44061091068,4.5788341599,2.74730049594,1.9231103471580002,0,3.8462206943160004,31.136072287320005,0,1.6483802975639998,0.51374519274078,0.06044061091068,0.004578834159900001,0.00274730049594,0.0019231103471580003,0,0.0038462206943160005,0.031136072287320002,0,0.0038876893810471692,0.001211663190426368,1.4254861063839623e-4,1.0799137169575473e-5,6.479482301745283e-6,4.535637611221699e-6,0,9.071275222443397e-6,7.34341327531132e-5,0,6914.039581449,578.7646378113601,301.28728772142,4.5788341599,1.83153366396,1.190496881574,0.320518391193,3.2051839119300003,114.92873741348998,1.6025919559650001,6.914039581449,0.5787646378113601,0.30128728772142,0.004578834159900001,0.00183153366396,0.001190496881574,3.2051839119300003e-4,0.00320518391193,0.11492873741348998,0.001602591955965,0.01630669712605896,0.0013650109382343399,7.10583225758066e-4,1.0799137169575473e-5,4.319654867830189e-6,2.8077756640896227e-6,7.559396018702831e-7,7.55939601870283e-6,2.710583429563443e-4,3.779698009351415e-6
716,2018-04-05T15:40:00Z,NA,NA,SFC,111,7.4,2.14,0.01,0.03,0,0,0.012,1.58,0,2018-04-05T15:40:00Z,35,64.5,6.505000000000001,1.4000000000000001,0.030000000000000002,0.03,0.0105,0,0.027000000000000003,0.9600000000000001,0,0.673,4.08,14847799.8,147.57399999999998,33.17202815013405,46.36692876557848,0.67,188,420442875.2232306,0.48416668216,0.3253318569915828,1.4882240142026013,25173342.844205398,625713760,2794241.055706799,186282.73704711994,53870.953686599554,251.733428442054,755.2002853261619,0,0,302.0801141304648,39773.88169384454,0,2794.241055706799,186.28273704711995,53.870953686599556,0.251733428442054,0.7552002853261619,0,0,0.3020801141304648,39.77388169384454,0,6.59019116911981,0.43934607794132063,0.12705413605330085,5.937109161369198e-4,0.0017811327484107593,0,0,7.124530993643038e-4,0.09380632474963334,0,1623680.6134512483,163752.59520155613,35242.679981887566,755.200285326162,755.2002853261619,264.3200998641567,0,679.6802567935458,24166.409130437183,0,1623.680613451248,163.75259520155615,35.24267998188756,0.755200285326162,0.7552002853261619,0.26432009986415667,0,0.6796802567935458,24.166409130437184,0,3.8294354090831324,0.38620895094706637,0.08311952825916878,0.0017811327484107595,0.0017811327484107593,6.233964619437657e-4,0,0.0016030194735696835,0.056996247949144305,0
759,2018-04-10T20:00:00Z,NA,NA,SFC,126,7.18,10.3,0.34,0.02,0,0.007,0.021,2.3,0.32,2018-04-10T20:00:00Z,36,118.5,7.29,6.220000000000001,0.17500000000000002,0.025,0,0.0035,0.0165,1.94,0.16,4.05,4.05,2430,0,4.05,NA,4.05,4.05,68809.93821,0,5.324401077185498e-5,0,420442875.2232306,0,52975802.27812705,3018779.8441027957,4330561.614799275,142950.5775758984,8408.857504464611,0,2943.1001265626146,8829.300379687844,967018.6130134304,134541.72007143378,52975.802278127056,3018.779844102796,4330.561614799275,142.95057757589842,8.408857504464612,0,2.9431001265626144,8.829300379687844,967.0186130134304,134.5417200714338,124.94292990124306,7.119763783261311,10.213588714149234,0.33714758862240196,0.019832211095435405,0,0.0069412738834023924,0.02082382165020718,2.2807042759750717,0.3173153775269665,49822480.713952824,3065028.5603773515,2615154.6838884945,73577.50316406536,10511.071880580766,0,1471.5500632813073,6937.307441183305,815659.1779330673,67270.86003571689,49822.48071395283,3065.0285603773514,2615.1546838884947,73.57750316406536,10.511071880580767,0,1.4715500632813072,6.9373074411833056,815.6591779330673,67.2708600357169,117.50585074045478,7.2288409442862065,6.167817650680412,0.1735318470850598,0.02479026386929426,0,0.0034706369417011962,0.01636157415373421,1.9237244762572343,0.15865768876348324
764,2018-04-10T20:10:00Z,NA,NA,SFC,9,6.56,2.41,0.4,0.01,0,0.062,0.07,1.03,0.39,2018-04-10T20:10:00Z,37,67.5,6.869999999999999,6.355,0.37,0.015,0,0.0345,0.045500000000000006,1.665,0.355,4.04,4.86,642852,19.304,4.120846153846154,0.8389987916433326,3.12,5.85,18203541.727644,0.06333333535999999,0.014085604449674287,4.496316475894259,68809.93821,81848960,619.28944389,451.3931946575999,165.8319510861,27.523975284,0.6880993821,0,4.266216169019999,4.8166956747,70.8742363563,26.8358759019,0.61928944389,0.4513931946575999,0.1658319510861,0.027523975284,6.880993820999999e-4,0,0.004266216169019999,0.0048166956747,0.0708742363563,0.026835875901899998,0.0014605883110613207,0.0010646065911735848,3.911130921841981e-4,6.49150360471698e-5,1.6228759011792452e-6,0,1.0061830587311319e-5,1.1360131308254717e-5,1.6715621782146227e-4,6.329216014599056e-5,4644.670829174999,472.72427550269987,437.28715732455,25.459677137699998,1.0321490731499998,0,2.373942868245,3.130852188555,114.56854711964999,24.427528064549996,4.644670829174999,0.4727242755026999,0.43728715732455,0.025459677137699997,0.0010321490731499997,0,0.0023739428682449997,0.0031308521885549997,0.11456854711964999,0.024427528064549994,0.010954412332959905,0.0011149157441101413,0.0010313376351994102,6.004640834363207e-5,2.434313851768867e-6,0,5.598921859068396e-6,7.384085350365566e-6,2.702088375463443e-4,5.76120944918632e-5
742,2018-04-12T15:30:00Z,NA,NA,SFC,35,7.01,24.9,2.29,0.45,0,0.33,0.061,1.27,1.84,2018-04-12T15:30:00Z,38,22,6.785,13.655,1.345,0.23,0,0.196,0.0655,1.15,1.115,4.87,1.02,2583108,18.034,2.4227236916150816,1.0128562706893105,1.02,5.07,73145474.020476,0.059166668559999996,0.05659877785056164,1.0453700734708158,18203541.727644,76464160,637123.9604675401,127606.82751078444,453268.1890183356,41686.11055630476,8191.5937774398,0,6007.168770122521,1110.416045386284,23118.49799410788,33494.51677886496,637.12396046754,127.60682751078443,453.2681890183356,41.68611055630476,8.1915937774398,0,6.0071687701225205,1.110416045386284,23.11849799410788,33.49451677886496,1.5026508501592923,0.30095949884618967,1.0690287476847538,0.09831629848185085,0.019319796644905192,0,0.014167850872930474,0.002618905767420481,0.05452475942006575,0.07899650183694566,400477.918008168,123511.03062206454,248569.3622909788,24483.76362368118,4186.81459735812,0,3567.8941786182245,1192.331983160682,20934.072986790597,20296.949026323062,400.477918008168,123.51103062206455,248.56936229097883,24.48376362368118,4.18681459735812,0,3.5678941786182246,1.192331983160682,20.934072986790596,20.296949026323063,0.9445233915286981,0.29129960052373716,0.5862484959692897,0.05774472552754996,0.009874562729618208,0,0.00841484476089204,0.002812103733869533,0.04937281364809103,0.04787016279793175
790,2018-04-24T23:35:00Z,NA,NA,SFC,152,7.16,1.66,0.28,0.01,0,0,0.007,1.69,0.27,2018-04-24T23:40:00Z,39,93.5,7.085,13.28,1.2850000000000001,0.23,0,0.165,0.034,1.48,1.0550000000000002,1.02,0.522,1038815.4,10.668,0.7107385057471265,0.15371428792197425,0.483,1.11,29415976.7430438,0.03500000112,0.022761604258258784,1.5376772534519685,73145474.020476,45232320,11118112.051112352,523721.59398660815,121421.48687399014,20480.73272573328,731.45474020476,0,0,512.0183181433321,123615.85109460443,19749.277985528523,11118.112051112352,523.7215939866081,121.42148687399015,20.48073272573328,0.73145474020476,0,0,0.512018318143332,123.61585109460444,19.749277985528522,26.221962384698944,1.2351924386476607,0.28637143130658055,0.04830361491918226,0.0017251291042565094,0,0,0.0012075903729795567,0.2915468186193501,0.04657848581492576,6839101.820914506,518235.6834350724,971371.8949919211,93991.93411631166,16823.459024709482,0,12069.00321337854,2486.946116696184,108255.30155030447,77168.47509160219,6839.101820914506,518.2356834350725,971.3718949919212,93.99193411631167,16.823459024709482,0,12.069003213378542,2.486946116696184,108.25530155030447,77.16847509160219,16.129957124798363,1.222253970365737,2.2909714504526444,0.22167908989696147,0.03967796939789972,0,0.02846463022023241,0.005865438954472132,0.2553191074299634,0.18200112049906178
806,2018-05-11T21:40:00Z,NA,NA,SFC,168,7.77,1.32,0.26,0.01,0,0.007,0.021,1.48,0.25,2018-05-11T21:40:00Z,40,160,7.465,1.49,0.27,0.01,0,0.0035,0.014,1.585,0.26,0.51,0.406,754011.6,10.16,0.4621868333946304,0.032767847361247736,0.375,0.534,21351231.1134252,0.033333334400000005,0.016521235289096135,2.017605452420359,29415976.7430438,43078400,4941884.092831358,228562.1392934503,38829.08930081782,7648.153953191389,294.159767430438,0,205.91183720130658,617.7355116039198,43535.64557970482,7353.99418576095,4941.8840928313575,228.5621392934503,38.82908930081782,7.648153953191389,0.29415976743043803,0,0.2059118372013066,0.6177355116039198,43.53564557970482,7.35399418576095,11.655387011394712,0.5390616492770054,0.09157804080381561,0.018038098946206105,6.937730363925426e-4,0,4.856411254747797e-4,0.0014569233764243391,0.10267840938609628,0.017344325909813562,4706556.278887007,219590.26638682195,43829.80534713526,7942.313720621826,294.159767430438,0,102.95591860065329,411.82367440261316,46624.32313772442,7648.153953191389,4706.5562788870075,219.59026638682195,43.82980534713526,7.942313720621826,0.29415976743043803,0,0.1029559186006533,0.4118236744026132,46.624323137724424,7.648153953191389,11.100368582280678,0.5179015716670329,0.10337218242248883,0.018731871982598645,6.937730363925426e-4,0,2.4282056273738984e-4,9.712822509495594e-4,0.10996302626821798,0.018038098946206105
821,2018-05-30T18:50:00Z,NA,NA,SFC,168,7.3,1.1,0.2,1.4,0,0.004,0.571,3.93,0,2018-05-30T18:50:00Z,41,168,7.535,1.21,0.23,0.705,0,0.0055,0.296,2.705,0.125,0.414,0.301,623061.6,5.588,0.32481576477948076,0.03127938661064405,0.269,0.414,17643139.9987752,0.01833333392,0.013651974708612838,1.3429071113378022,21351231.1134252,23693120,3587006.8270554333,155863.98712800397,23486.35422476772,4270.24622268504,29891.72355879528,0,85.40492445370079,12191.552965765788,83910.33827576104,0,3587.0068270554334,155.86398712800394,23.486354224767723,4.27024622268504,29.891723558795277,0,0.08540492445370079,12.191552965765787,83.91033827576103,0,8.459921761923193,0.3676037432264244,0.0553923448697352,0.010071335430860945,0.0704993480160266,0,2.0142670861721885e-4,0.028753662655107988,0.19790174121641754,0,3587006.8270554333,160881.5264396589,25834.98964724449,4910.783156087796,15052.617934964765,0,117.43177112383859,6319.964409573859,57755.08016181517,2668.9038891781497,3587.0068270554334,160.88152643965887,25.83498964724449,4.910783156087796,15.052617934964765,0,0.11743177112383858,6.319964409573859,57.755080161815165,2.66890388917815,8.459921761923193,0.379437562357686,0.060931579356708704,0.011582035745490086,0.035501457393784824,0,2.769617243486759e-4,0.014905576437674196,0.13621481170239425,0.00629458464428809
849,2018-06-21T23:35:00Z,NA,NA,SFC,161,7.28,0.77,0.28,0.01,0,0.034,0.002,2.05,0.27,2018-06-21T23:40:00Z,42,164.5,7.29,0.935,0.24000000000000002,0.705,0,0.019000000000000003,0.2865,2.99,0.135,0.296,0.2,221928,0,0.2392496765847348,0.024400695316612795,0.194,0.303,6284301.221016,0,0.004862690050442894,0,17643139.9987752,0,2840545.539802807,128442.05919108345,13585.217799056905,4940.079199657056,176.431399987752,0,599.8667599583569,35.2862799975504,36168.43699748915,4763.647799669304,2840.545539802807,128.44205919108344,13.585217799056904,4.940079199657056,0.176431399987752,0,0.5998667599583568,0.0352862799975504,36.16843699748915,4.763647799669304,6.6993998580254885,0.3029293848846308,0.03204060801664364,0.011651130187870415,4.161117924239434e-4,0,0.0014147800942414077,8.322235848478869e-5,0.08530291744690838,0.011235018395446472,2902296.5297985203,128618.4905910712,16496.335898854813,4234.353599706048,12438.413699136514,0,335.21965997672885,5054.759609649094,52752.98859633785,2381.823899834652,2902.29652979852,128.6184905910712,16.496335898854813,4.234353599706048,12.438413699136515,0,0.33521965997672887,5.054759609649094,52.75298859633785,2.381823899834652,6.8450389853738685,0.30334549667705474,0.03890645259163871,0.009986683018174642,0.029335881365888005,0,7.906124056054927e-4,0.011921602852945976,0.12441742593475909,0.005617509197723236
852,2018-07-02T17:15:00Z,NA,NA,SFC,160,7.17,3.01,0.27,0.01,0,0.034,0.002,2.2,0.26,2018-07-02T17:20:00Z,43,160.5,7.225,1.89,0.275,0.01,0,0.034,0.002,2.125,0.265,0.2,0.149,284904.6,0,0.18319483024691358,0.012554145343779445,0.149,0.215,8067599.967796199,0,0.006242577609609478,0,6284301.221016,0,1005488.19536256,45058.43975468472,18915.74667525816,1696.76132967432,62.84301221016,0,213.666241514544,12.568602442032,13825.4626862352,1633.91831746416,1005.4881953625601,45.05843975468472,18.91574667525816,1.69676132967432,0.06284301221016,0,0.213666241514544,0.012568602442032001,13.8254626862352,1.63391831746416,2.371434423024906,0.10626990508180359,0.044612610083156035,0.004001795588854528,1.4821465143905662e-4,0,5.039298148927924e-4,2.9642930287811322e-5,0.03260722331659245,0.0038535809374154717,1008630.345973068,45404.0763218406,11877.32930772024,1728.1828357794,62.84301221016,0,213.666241514544,12.568602442032,13354.140094659,1665.33982356924,1008.630345973068,45.4040763218406,11.87732930772024,1.7281828357794,0.06284301221016,0,0.213666241514544,0.012568602442032001,13.354140094659,1.66533982356924,2.3788451555968586,0.10708508566471839,0.028012569121981697,0.004075902914574056,1.4821465143905662e-4,0,5.039298148927924e-4,2.9642930287811322e-5,0.03149561343079953,0.003927688263135
875,2018-07-20T17:20:00Z,NA,NA,SFC,156,7.34,1.61,0.12,0.01,0.066485746,0.034,0.002,1.9,0.043514254,2018-07-20T17:20:00Z,44,158,7.255,2.31,0.195,0.01,0.033242873,0.034,0.002,2.05,0.151757127,0.152,0.144,152139,0,0.14481153626499144,0.010643785764941282,0.129,0.178,4308096.785732999,0,0.003333535207744545,0,8067599.967796199,0,1258545.594976207,59216.1837636241,12988.83594815188,968.1119961355438,80.675999677962,536.3804022885063,274.29839890507077,16.135199935592397,15328.439938812777,351.0555941690757,1258.545594976207,59.2161837636241,12.98883594815188,0.9681119961355438,0.080675999677962,0.5363804022885063,0.2742983989050708,0.016135199935592398,15.328439938812778,0.35105559416907567,2.9682679126797336,0.1396608107632644,0.03063404704752802,0.002283283009753641,1.9027358414613682e-4,0.0012650481186049676,6.469301860968651e-4,3.8054716829227356e-5,0.03615198098776599,8.27961307002537e-4,1274680.7949117995,58530.43776636142,18636.15592560922,1573.1819937202588,80.675999677962,268.19020114425314,274.29839890507077,16.135199935592397,16538.579933982208,1224.3157928980436,1274.6807949117995,58.53043776636142,18.63615592560922,1.573181993720259,0.080675999677962,0.2681902011442531,0.2742983989050708,0.016135199935592398,16.538579933982206,1.2243157928980435,3.006322629508961,0.1380434852980222,0.04395319793775759,0.003710334890849667,1.9027358414613682e-4,6.325240593024838e-4,6.469301860968651e-4,3.8054716829227356e-5,0.03900608474995803,0.0028875372474010457
880,2018-08-01T21:10:00Z,NA,NA,SFC,158,7.14,2.28,0.13,0.01,0,0.036,0,1.61,0.12,2018-08-01T21:10:00Z,45,157,7.24,1.9449999999999998,0.125,0.01,0.033242873,0.035,0.001,1.755,0.081757127,0.144,0.103,252499.74,0.254,0.11252216577540107,0.011061491581316408,0.0983,0.149,7149996.505119779,8.333333600000001e-4,0.005532550977963202,0.15062371107275185,4308096.785732999,1076960,680679.2921458139,30759.811050133616,9822.460671471239,560.05258214529,43.080967857329995,0,155.09148428638798,0,6936.03582503013,516.9716142879599,680.679292145814,30.759811050133617,9.822460671471239,0.56005258214529,0.043080967857329996,0,0.15509148428638797,0,6.936035825030129,0.5169716142879599,1.605375689023146,0.07254672417484344,0.0231661808289416,0.0013208787314747405,1.0160605626728773e-4,0,3.6578180256223577e-4,0,0.016358575059033324,0.0012192726752074526,676371.1953600809,31190.62072870692,8379.248248250682,538.512098216625,43.080967857329995,143.21351431983032,150.78338750065498,4.3080967857329995,7560.709858961413,352.2176160394646,676.371195360081,31.190620728706918,8.379248248250683,0.5385120982166249,0.043080967857329996,0.14321351431983032,0.15078338750065498,0.0043080967857329995,7.560709858961413,0.3522176160394646,1.5952150833964174,0.07356278473751632,0.01976237794398746,0.0012700757033410966,1.0160605626728773e-4,3.3776772245243e-4,3.5562119693550705e-4,1.0160605626728772e-5,0.017831862874908993,8.307019246213788e-4
892,2018-08-27T20:30:00Z,NA,NA,SFC,154,7.22,0.82,0.03,0.01,0,0.031,0.002,0.58,0.02,2018-08-27T20:30:00Z,46,156,7.18,1.5499999999999998,0.08,0.01,0,0.0335,0.001,1.095,0.06999999999999999,0.103,0.0672,165605.1,0,0.08815346534653465,0.011636866472991001,0.0655,0.109,4689414.2791197,0,0.0036285924807712435,0,7149996.505119779,0,1101099.461788446,51622.9747669648,5862.997134198218,214.49989515359337,71.49996505119779,0,221.64989165871313,14.29999301023956,4146.997972969471,142.99993010239558,1101.099461788446,51.6229747669648,5.862997134198219,0.21449989515359336,0.0714999650511978,0,0.22164989165871313,0.01429999301023956,4.146997972969471,0.1429999301023956,2.5969326928972785,0.12175229897869057,0.01382782342971278,5.058959791358334e-4,1.6863199304527782e-4,0,5.227591784403611e-4,3.372639860905556e-5,0.00978065559662611,3.3726398609055565e-4,1115399.4547986856,51336.97490676001,11082.494582935655,571.9997204095823,71.49996505119779,0,239.5248829215126,7.14999650511978,7829.2461731061585,500.4997553583845,1115.3994547986856,51.33697490676001,11.082494582935656,0.5719997204095824,0.0714999650511978,0,0.2395248829215126,0.00714999650511978,7.829246173106158,0.5004997553583845,2.630659091506334,0.12107777100650946,0.026137958922018055,0.0013490559443622226,1.6863199304527782e-4,0,5.649171767016807e-4,1.686319930452778e-5,0.01846520323845792,0.0011804239513169446
906,2018-09-18T14:20:00Z,NA,NA,SFC,65,9.38,1.79,0.08,0.01,0.085764411,0.039,0.002,0.85,0,2018-09-18T14:20:00Z,47,109.5,8.3,1.305,0.055,0.01,0.0428822055,0.035,0.002,0.715,0.01,0.0672,0.185,82809.66,21.082,0.06712845330739299,0.036983542900725315,0.0508,0.305,2344908.47234202,0.06916666888,0.0018144520284171393,38.1198663821046,4689414.2791197,89387680,304811.92814278055,43986.70593814279,8394.051559624264,375.15314232957604,46.894142791197005,402.18485358369065,182.8871568856683,9.3788285582394,3986.002137251745,0,304.8119281427805,43.98670593814279,8.394051559624264,0.37515314232957603,0.046894142791197004,0.40218485358369066,0.1828871568856683,0.0093788285582394,3.986002137251745,0,0.7188960569405201,0.10374223098618583,0.01979729141420817,8.84795147003717e-4,1.1059939337546462e-4,9.485491829804025e-4,4.3133763416431205e-4,2.2119878675092924e-5,0.009400948436914493,0,513490.86356360716,38922.138516693514,6119.685634251208,257.9177853515835,46.894142791197005,201.09242679184533,164.12949976918952,9.3788285582394,3352.9312095705855,46.894142791197005,513.4908635636071,38.922138516693515,6.1196856342512085,0.2579177853515835,0.046894142791197004,0.20109242679184533,0.1641294997691895,0.0093788285582394,3.352931209570585,0.046894142791197004,1.2110633574613376,0.09179749650163564,0.014433220835498133,6.082966635650554e-4,1.1059939337546462e-4,4.742745914902012e-4,3.8709787681412617e-4,2.2119878675092924e-5,0.00790785662634572,1.1059939337546462e-4
924,2018-10-02T21:00:00Z,NA,NA,SFC,166,7.15,0.96,0.16,0.01,0,0.126,0.014560154,2.59,0.15,2018-10-02T21:00:00Z,48,115.5,8.265,1.375,0.12,0.01,0.0428822055,0.0825,0.008280077,1.72,0.075,0.183,0.0672,113123.46,6.858,0.09352137896825397,0.023084895092301532,0.0637,0.183,3203299.70893062,0.02250000072,0.0024786612027940355,9.077481301049612,2344908.47234202,29077920,389254.80640877533,16766.095577245444,2251.112133448339,375.1853555747232,23.4490847234202,0,295.45846751509447,34.142228473204554,6073.3129433658305,351.73627085130295,389.2548064087753,16.76609557724544,2.251112133448339,0.3751853555747232,0.0234490847234202,0,0.29545846751509447,0.03414222847320455,6.073312943365831,0.35173627085130293,0.9180537886999418,0.03954267824822038,0.005309226729830988,8.848711216384982e-4,5.5304445102406136e-5,0,6.968360082903172e-4,8.05241237575579e-5,0.014323851281523187,8.295666765360918e-4,270836.9285555033,19380.668523906796,3224.249149470277,281.3890166810424,23.4490847234202,100.55484698966156,193.45494896821666,19.416022708944297,4033.242572428274,175.86813542565147,270.83692855550333,19.3806685239068,3.224249149470277,0.2813890166810424,0.0234490847234202,0.10055484698966155,0.19345494896821666,0.019416022708944297,4.033242572428274,0.17586813542565147,0.6387663409327908,0.04570912387713868,0.007604361201580842,6.636533412288736e-4,5.5304445102406136e-5,2.371576579944848e-4,4.562616720948506e-4,4.579250638901957e-5,0.009512364557613853,4.147833382680459e-4
